id_mo,reg_number,model,branch,volume_m3,weight_t,pl_count,pl_date_from,pl_date_to,pl_duration_h,engine_time_h,moving_time_h,distance_km,parkings_count,kip_pct,request_numbers,object_expend
12,Р664КХ72,Самосвал Scania P400-CB 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,204.1,150.88,74.83,2595.8,191,73.9,121654; 122676,A362618
13,Т053СС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,19,12.02.2026,19.02.2026,396.0,109.69,61.42,2196.5,157,27.7,121655; 121654,A362618
14,Т052СС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,4,12.02.2026,16.02.2026,96.0,0.98,0.35,3.2,10,1.0,121614,A361975
15,Р029МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,7,12.02.2026,19.02.2026,107.8,41.8,28.04,1408.5,108,38.8,121614,A000136; A361975
16,Р031МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,4,12.02.2026,16.02.2026,96.0,0.0,0.0,0.0,1,0.0,121348,A362304
17,Р028МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,29,12.02.2026,24.02.2026,900.0,86.28,48.21,2320.4,69,9.6,121613; 122676; 121957; 122348,A361975; A362618; A362627
18,Т051СС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,18,12.02.2026,19.02.2026,384.0,34.55,17.75,391.6,59,9.0,121655; 122705,A362618; T000147
19,Р030МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,264.0,103.01,26.73,286.1,187,39.0,121365; 121613,A361975
20,Р025МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,12,12.02.2026,19.02.2026,231.0,43.68,14.29,800.7,78,18.9,121613; 120802,A361975; A362632
31,О156ЕР72,Самосвал Scania P380-CB 6х4,ДСУ,16.0,24.0,5,12.02.2026,18.02.2026,80.5,8.14,2.84,85.9,10,10.1,,
32,Р665КХ72,Самосвал Scania P400-CB 6х4,МО-36,16.0,24.0,13,12.02.2026,19.02.2026,192.0,118.77,64.19,2172.6,168,61.9,121655; 121654; 122676,A362618
33,Р027МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,252.0,100.96,59.48,1727.3,170,40.1,121655; 121654,A362618
705,Т219ХА72,Самосвал MAN 9596-03-50 6х6,ДСУ,16.0,24.0,13,12.02.2026,19.02.2026,156.0,103.76,40.38,1150.6,168,66.5,,A361975
706,Т220ХА72,Самосвал MAN 9596-03-50 6х6,ДСУ,16.0,24.0,28,12.02.2026,19.02.2026,336.0,143.01,72.37,1108.3,41,42.6,,A361975
777,С177МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,13,12.02.2026,24.02.2026,480.0,53.11,31.19,1379.8,51,11.1,121615; 121957; 122348,A361975; A362627
778,С220МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,264.0,55.05,10.81,257.1,89,20.9,121519; 121043,A362626
779,С165МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,24,12.02.2026,19.02.2026,432.1,146.03,66.74,2403.2,163,33.8,121614; 121613; 122676,A361975; A362618
780,С225МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,15,12.02.2026,19.02.2026,252.0,119.79,30.75,1096.6,166,47.5,121382,A362492
781,С217МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,19,12.02.2026,19.02.2026,411.6,27.94,14.36,498.7,22,6.8,121654; 121655; 122705; 122676; 122678,A362618; A000136; T000147
782,С241МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,15,12.02.2026,19.02.2026,252.0,89.81,50.7,1858.8,148,35.6,121654; 121655; 122676,A362618; A000136
783,С238МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,20,12.02.2026,24.02.2026,648.0,83.87,46.83,2141.7,74,12.9,121613; 121957; 122348,A361975; A362627
784,С228МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,15,12.02.2026,19.02.2026,300.0,135.99,62.34,1966.7,193,45.3,121654; 122676,A362618
785,С141МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,24,12.02.2026,19.02.2026,450.3,146.41,75.4,3180.0,123,32.5,121613; 122676,A361975; A362618
786,С234МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,7,12.02.2026,19.02.2026,109.7,55.79,28.97,857.6,65,50.9,121348,A362304
1561,С880НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,300.0,77.59,33.01,1329.3,133,25.9,121614; 121613,A361975
1562,С840НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,216.0,121.63,67.28,2752.0,158,56.3,121613,A361975
1563,С881НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,264.0,120.12,58.59,2563.5,127,45.5,121613; 121614,A361975
1581,С884НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,24,12.02.2026,19.02.2026,528.0,67.58,32.5,1519.9,97,12.8,121613; 121615; 122676,A361975; A000136; A362618
1582,С842НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,192.0,143.24,78.35,2605.5,234,74.6,121654; 122676,A362618
1583,С824НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,11,12.02.2026,19.02.2026,168.0,68.53,12.28,384.9,103,40.8,121519,A362626
1584,С886НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,25,12.02.2026,19.02.2026,516.0,132.88,75.89,3319.9,177,25.8,121614; 121613; 122676; 121348,A361975; A362618; A362304
1585,С887НС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,15,12.02.2026,19.02.2026,312.0,101.69,45.23,2205.8,121,32.6,121614; 121613; 121615,A361975; A000136
1641,С243ОХ72,Самосвал MAN БМЦ-57.6 6х6,ДСУ,16.0,24.0,18,12.02.2026,19.02.2026,216.0,165.44,51.08,1182.4,283,76.6,121626,A362618
1642,С224ОХ72,Самосвал MAN БМЦ-57.6 6х6,ДСУ,16.0,24.0,16,12.02.2026,19.02.2026,192.0,21.05,10.77,452.5,37,11.0,,A362618
5620,Р322ТН186,Самосвал HINO 658991E 6x4,МО-36,16.0,24.0,1,16.02.2026,21.02.2026,120.0,0.71,0.01,0.2,2,0.6,121185,A362493
5621,В430НС172,Самосвал HINO 658991E 6x4,МО-36,16.0,24.0,6,14.02.2026,24.02.2026,323.1,57.03,36.62,1473.9,48,17.7,121957; 122348,A362627
5780,К404УА186,Самосвал Hino 700,МО-36,16.0,24.0,9,12.02.2026,19.02.2026,144.0,79.93,14.93,375.8,100,55.5,121295,A362492
5781,К641УК186,Самосвал Hino 700,МО-36,16.0,24.0,1,16.02.2026,21.02.2026,120.0,33.76,9.21,120.1,55,28.1,121185,A362493
5794,Х383РХ72,Самосвал SHACMAN 6x4,ДСУ,20.0,30.0,12,12.02.2026,18.02.2026,144.0,68.85,37.97,1622.7,70,47.8,121654,A362618
5795,Х371РХ72,Самосвал SHACMAN 6x4,ДСУ,20.0,30.0,14,12.02.2026,19.02.2026,168.0,167.83,69.62,2775.3,204,99.9,,A361975
5796,Х339РХ72,Самосвал SHACMAN 6x4,ДСУ,20.0,30.0,12,12.02.2026,17.03.2026,904.8,85.54,40.23,1984.4,101,9.5,122494; 121610,A361975
5797,Х331РХ72,Самосвал SHACMAN 6x4,ДСУ,20.0,30.0,13,12.02.2026,19.02.2026,156.0,81.23,36.82,1445.5,97,52.1,121610,A361975
5798,Х570РХ72,Самосвал SHACMAN 6x4,ДСУ,20.0,30.0,13,12.02.2026,19.02.2026,158.0,126.46,46.05,1217.1,204,80.1,121654,A362618
6099,А021АТ172,Самосвал SITRAK 6x4,ДСУ,16.0,24.0,15,12.02.2026,19.02.2026,180.0,119.53,58.99,2160.2,128,66.4,,A361975
6100,А542АТ172,Самосвал SITRAK 6x4,ДСУ,16.0,24.0,7,12.02.2026,18.02.2026,84.0,76.66,38.8,1821.3,86,91.3,,A361975
6101,А525АТ172,Самосвал SITRAK 6x4,ДСУ,16.0,24.0,10,12.02.2026,18.02.2026,60.0,73.05,36.6,1797.4,48,121.8,121610,A361975
6102,А538АТ172,Самосвал SITRAK 6x4,ДСУ,16.0,24.0,14,12.02.2026,19.02.2026,168.0,104.22,65.97,2475.0,27,62.0,,A361975
6103,А446АТ172,Самосвал SITRAK 6x4,ДСУ,16.0,24.0,14,12.02.2026,19.02.2026,168.0,93.91,43.43,1591.7,138,55.9,121610,A361975
6211,Р161МР186,Самосвал SANY 6x4,МО-36,20.0,30.0,16,12.02.2026,17.02.2026,192.0,79.35,34.69,337.7,109,41.3,120077,A362591; A362553
6212,Р404МС186,Самосвал SANY 6x4,МО-36,20.0,30.0,14,12.02.2026,19.02.2026,180.1,141.02,83.6,2400.1,170,78.3,121655; 121654,A362618
6213,Р871МР186,Самосвал SANY 6x4,МО-36,20.0,30.0,8,12.02.2026,16.02.2026,192.0,0.0,0.0,0.0,0,0.0,121655,A362618
6214,Р595МО186,Самосвал SANY 6x4,МО-36,20.0,30.0,1,15.02.2026,21.02.2026,144.0,0.0,0.0,0.0,0,0.0,121185,A362493
6215,Р739МТ186,Самосвал SANY 6x4,МО-36,20.0,30.0,9,12.02.2026,24.02.2026,372.4,81.29,34.43,1590.3,63,21.8,121736; 122705; 121957; 122348,T000147; A360466; A362627
6216,Р877МР186,Самосвал SANY 6x4,МО-36,20.0,30.0,14,12.02.2026,19.02.2026,252.0,141.44,81.59,2473.6,171,56.1,121654; 121655; 122676,A362618
6217,Р381МС186,Самосвал SANY 6x4,МО-36,20.0,30.0,2,14.02.2026,20.02.2026,144.0,87.89,28.26,1580.8,91,61.0,121311,A362499; A362608
6218,Р605МО186,Самосвал SANY 6x4,МО-36,20.0,30.0,7,12.02.2026,16.02.2026,108.0,62.23,25.14,612.4,98,57.6,122895; 122959; 122969; 123017; 123029; 123051; 123061,A362477; A362564
6219,Р856МР186,Самосвал SANY 6x4,МО-36,20.0,30.0,3,13.02.2026,20.02.2026,276.0,13.54,1.38,16.5,13,4.9,121741,A362609
6222,Р755МТ186,Самосвал SANY 6x4,МО-36,20.0,30.0,5,15.02.2026,19.02.2026,91.0,44.84,18.48,511.9,55,49.3,123061; 123098; 123111; 123202; 123279,A362477
6224,Р372МС186,Самосвал SANY 6x4,МО-36,20.0,30.0,1,16.02.2026,20.02.2026,108.0,28.8,19.9,1228.5,35,26.7,121310,A362608
6226,Р791МТ186,Самосвал SANY 6x4,МО-36,20.0,30.0,17,12.02.2026,19.02.2026,276.0,100.41,28.58,240.7,152,36.4,121519,A362626
6228,Р424МС186,Самосвал SANY 6x4,МО-36,20.0,30.0,10,12.02.2026,24.02.2026,385.2,70.78,36.41,1565.8,106,18.4,121736; 121957; 121614; 122348,T000147; A362627; A361975
6229,Р886МР186,Самосвал SANY 6x4,МО-36,20.0,30.0,14,12.02.2026,19.02.2026,252.0,137.61,79.19,2457.4,182,54.6,121655; 121654; 122676,A362618
6230,Р445МС186,Самосвал SANY 6x4,МО-36,20.0,30.0,18,12.02.2026,19.02.2026,241.0,131.44,40.96,595.8,248,54.5,120077; 121111,A362591; A362553; A362578
6644,А695ХМ172,Самосвал SITRAK 6*6,ДСУ,16.0,24.0,16,12.02.2026,28.02.2026,192.0,170.19,75.82,676.8,239,88.6,121110; 120077,A362591
6645,А734ХМ172,Самосвал SITRAK 6*6,ДСУ,16.0,24.0,14,12.02.2026,19.02.2026,168.0,150.93,68.04,785.0,232,89.8,,A362591
6646,А743ХМ172,Самосвал SITRAK 6*6,ДСУ,16.0,24.0,21,12.02.2026,19.02.2026,252.0,167.08,66.39,617.7,237,66.3,121110,A362591
6682,В126НО172,Самосвал SITRAK 6*6,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,276.0,158.32,59.61,1694.0,208,57.4,122876; 122948; 122951; 123005; 123062; 123006; 123112; 123067; 123119; 123180; 123184; 123255; 123258; 123350,A362477; A362569; A362564
6683,В085НН172,Самосвал SITRAK 6*6,МО-36,16.0,24.0,24,12.02.2026,19.02.2026,288.0,144.84,68.29,1206.8,114,50.3,121111,A362591; A362553; A362578
6684,В078НН172,Самосвал SITRAK 6*6,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,226.0,153.42,62.04,1533.8,196,67.9,122894; 122958; 122970; 123018; 123028; 123052; 123100; 123063; 123109; 123193; 123201; 123268; 123278; 123363,A362564; A362477; A362569; A362546; A362565
6790,А927ОХ172,Самосвал MERCEDES benz actros 4141A,ДСУ,21.0,31.5,4,14.02.2026,18.02.2026,48.0,37.82,23.25,1298.1,36,78.8,,
